股票代码,股票名称,市场,流通股本,更新日期,上市日期,总股本,国有股,发起人法人股,法人股,B股,H股,职工股,总资产,流动资产,固定资产,无形资产,股东人数,流动负债,长期负债,资本公积金,净资产,主营收入,主营利润,应收账款,营业利润,投资收益,经营现金流,总现金流,存货,综合利润,税后利润,净利润,未分配利润,每股净资产
301618,长联科技,深市,33154299.31640625,20250929,20240930,90215898.4375,12260000,448579492.1875,2966898750.0,0.0,0.0,2700.000107288361,12186438750.0,8063706250.0,682030000.0,434068007.8125,13431,2117920000.0,0.0,3195088125.0,9348013125.0,2722930937.5,1898315000.0,3176680000.0,277910000.0,11875000.0,144832998.046875,-564487031.25,601593007.8125,276334003.90625,246492988.28125,246492988.28125,4942330000.0,10.36200046539307
301622,英思特,深市,28983000.48828125,20251009,20241204,115931904.296875,12390000,0.0,0.0,0.0,0.0,6600.000262260437,21960777500.0,14427081250.0,5667551250.0,284810000.0,16140,6201648750.0,0.0,6805596875.0,15150447500.0,5920658750.0,4412550000.0,4248551250.0,866050937.5,14850000.0,494906015.625,-3125215000.0,3847480937.5,858833984.375,769843046.875,769843046.875,6609996250.0,13.06799983978271
301626,苏州天脉,深市,26028000.48828125,20250828,20241024,115680000.0,12390000,965149062.5,4568740000.0,0.0,0.0,8199.999928474426,17402118750.0,10953651250.0,4887510937.5,399751015.625,10162,2109117968.75,0.0,7625568125.0,15257876250.0,5080500000.0,2965158125.0,2784381875.0,1048700937.5,26832001.953125,1053999062.5,-199893984.375,2026827968.75,1051294062.5,944540000.0,944540000.0,5937571875.0,13.1899995803833
301628,强达电路,深市,18844000.24414062,20250827,20241031,75375800.78125,12390000,560195507.8125,3886750625.0,0.0,0.0,7799.999713897705,14504025000.0,9488661875.0,2527792031.25,250820000.0,15279,2905726875.0,0.0,6518261250.0,11090472500.0,4557173125.0,3173628750.0,2712602812.5,663337968.75,18346999.51171875,375581015.625,2438307968.75,652193984.375,663456015.625,587491015.625,587490000.0,3640155000.0,14.71399974822998
301629,矽电股份,深市,10431700.43945312,20250830,20250324,41727299.8046875,12350000,566332617.1875,2877223750.0,0.0,0.0,5799.999833106995,13518992500.0,12576342500.0,72223999.0234375,25707998.046875,10493,1853297031.25,-14975999.75585938,7371361250.0,11627036250.0,1816036875.0,1087299062.5,1496545000.0,215630000.0,3816999.816894531,-257185000.0,2633966875.0,3285530000.0,223788984.375,212359003.90625,213561015.625,3681925000.0,27.86400032043457
301630,同宇新材,深市,10000000.0,20250826,20250710,40000000.0,12390000,0.0,0.0,0.0,0.0,22100.00038146973,16435481250.0,9208099375.0,5490000000.0,438147031.25,19991,5505600000.0,0.0,2043498125.0,8731745000.0,5713373750.0,4547425000.0,3007840000.0,786508984.375,-8023999.633789062,46842001.953125,-16733000.48828125,1308780937.5,783627968.75,662437968.75,662437968.75,6022138125.0,40.8390007019043
301631,壹连科技,深市,19233199.46289062,20250826,20241122,91414599.609375,12390000,1152913437.5,16922302500.0,0.0,0.0,14900.00009536743,47434675000.0,34516175000.0,5704790000.0,499835000.0,13156,20488093750.0,126307998.046875,12117272500.0,24116352500.0,20664961250.0,17275972500.0,10274406250.0,1705311875.0,11640000.0,3381540937.5,-8898270000.0,7576806875.0,1695255000.0,1343802968.75,1366047031.25,9751805000.0,26.38100051879883
301632,广东建科,深市,68863500.9765625,20250827,20250812,418560000.0,22740000,0.0,0.0,0.0,0.0,1099.999994039536,27606347500.0,16356130000.0,4325059062.5,3463215000.0,64370,6494000000.0,222404003.90625,8465590000.0,20519056250.0,5022715000.0,2704285000.0,7867084375.0,336496015.625,20508000.48828125,-64117998.046875,-1043995000.0,375087031.25,336815000.0,326067988.28125,335512031.25,7749452500.0,6.40500020980835
301633,港迪技术,深市,13920000.0,20251013,20241107,55680000.0,18650000,219312597.65625,2139871875.0,0.0,0.0,3300.000131130219,12208351250.0,9935361250.0,194015996.09375,156287998.046875,8567,3043765937.5,63572998.046875,6077210000.0,8885865625.0,2100942968.75,1194303046.875,4514982812.5,202282988.28125,18238000.48828125,-1500417031.25,-4675160937.5,1054348046.875,192781015.625,185935996.09375,184185996.09375,2058567031.25,15.95899963378906
301636,泽润新能,深市,15141099.85351562,20251014,20250516,63867797.8515625,12380000,0.0,0.0,0.0,0.0,11200.00004768372,17220131250.0,14844976250.0,1203546015.625,199064003.90625,13818,5926540000.0,0.0,6931181875.0,11129982500.0,4487398750.0,3554732812.5,3595087187.5,596655000.0,-4354000.244140625,-958271015.625,5665535000.0,994262031.25,596643007.8125,568114023.4375,568114023.4375,3234610937.5,17.42700004577637
